Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2020,2020,2020,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,749696,,,,749696,,780526,,,0
S4,2020,2020,2020,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,66462,,,,66462,,395058,,,0
S4,2020,2020,2020,4,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,35,,,,35,,7048,,,0
S4,2020,2020,2020,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,1117861,,,,1117861,,2595117,,,0
S4,2020,2020,2020,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,17627640,,,,,,49881650,,,6
S4,2020,2020,2020,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,861129,,,,861129,,14615439,,,0
S4,2020,2020,2020,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,1761849,,,,1761849,,7790291,,,0
S4,2020,2020,2020,4,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,69,,,,69,,122,,,0
S4,2020,2020,2020,4,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,19095,,,,19095,,894851,,,0
S4,2020,2020,2020,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,584672,,,,584672,,574176,,,0
S4,2020,2020,2020,4,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,25000,,,,25000,,20490,,,0
S4,2020,2020,2020,4,0,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,1030,,,,1030,,35532,,,0
